Transect_code,stage1,stage2,stage3,stage4,habitat,site,transect
OOG1 FT1,0,0,0,0,0,3,13
OOG1 FT2,0,0,0,0,0,3,14
OOG1 FT3,0,0,0,0,0,3,15
OOG1 RT1,0,0,0,0,1,3,16
OOG1 RT2,0,0,0,0,1,3,17
OOG1 RT3,0,0,0,0,1,3,18
OOG2 FT1,0,0,0,0,0,4,19
OOG2 FT2,0,0,0,0,0,4,20
OOG2 FT3,0,0,0,0,0,4,21
OOG2 RT1,0,0,0,0,1,4,22
OOG2 RT2,0,0,0,0,1,4,23
OOG2 RT3,0,0,0,0,1,4,24
OOG3 FT1,0,0,0,0,0,8,43
OOG3 FT2,0,0,0,0,0,8,44
OOG3 FT3,0,0,0,0,0,8,45
OOG3 RT1,0,0,0,0,1,8,46
OOG3 RT2,0,0,0,0,1,8,47
OOG3 RT3,0,0,0,0,1,8,48
OPOT1 FT1,1,0,0,0,0,1,1
OPOT1 FT2,1,0,0,0,0,1,2
OPOT1 FT3,1,0,0,0,0,1,3
OPOT1 RT1,1,0,0,0,1,1,4
OPOT1 RT2,1,0,0,0,1,1,5
OPOT1 RT3,1,0,0,0,1,1,6
OPOT2 FT1,1,0,0,0,0,6,31
OPOT2 FT2,1,0,0,0,0,6,32
OPOT2 FT3,1,0,0,0,0,6,33
OPOT2 RT1,1,0,0,0,1,6,34
OPOT2 RT2,1,0,0,0,1,6,35
OPOT2 RT3,1,0,0,0,1,6,36
OPOT3 FT1,1,0,0,0,0,12,67
OPOT3 FT2,1,0,0,0,0,12,68
OPOT3 FT3,1,0,0,0,0,12,69
OPOT3 RT1,1,0,0,0,1,12,70
OPOT3 RT2,1,0,0,0,1,12,71
OPOT3 RT3,1,0,0,0,1,12,72
OS1 FT1,0,0,0,1,0,2,7
OS1 FT2,0,0,0,1,0,2,8
OS1 FT3,0,0,0,1,0,2,9
OS1 RT1,0,0,0,1,1,2,10
OS1 RT2,0,0,0,1,1,2,11
OS1 RT3,0,0,0,1,1,2,12
OS2 FT1,0,0,1,0,0,5,25
OS2 FT2,0,0,1,0,0,5,26
OS2 FT3,0,0,1,0,0,5,27
OS2 RT1,0,0,1,0,1,5,28
OS2 RT2,0,0,1,0,1,5,29
OS2 RT3,0,0,1,0,1,5,30
OS3 FT1,0,0,1,0,0,7,37
OS3 FT2,0,0,1,0,0,7,38
OS3 FT3,0,0,1,0,0,7,39
OS3 RT1,0,0,1,0,1,7,40
OS3 RT2,0,0,1,0,1,7,41
OS3 RT3,0,0,1,0,1,7,42
OS4 FT1,0,0,1,0,0,9,49
OS4 FT2,0,0,1,0,0,9,50
OS4 FT3,0,0,1,0,0,9,51
OS4 RT1,0,0,1,0,1,9,52
OS4 RT2,0,0,1,0,1,9,53
OS4 RT3,0,0,1,0,1,9,54
OS5 FT1,0,0,0,1,0,10,55
OS5 FT2,0,0,0,1,0,10,56
OS5 FT3,0,0,0,1,0,10,57
OS5 RT1,0,0,0,1,1,10,58
OS5 RT2,0,0,0,1,1,10,59
OS5 RT3,0,0,0,1,1,10,60
OS6 FT1,0,0,0,1,0,11,61
OS6 FT2,0,0,0,1,0,11,62
OS6 FT3,0,0,0,1,0,11,63
OS6 RT1,0,0,0,1,1,11,64
OS6 RT2,0,0,0,1,1,11,65
OS6 RT3,0,0,0,1,1,11,66
OS7 FT1,0,0,1,0,0,13,73
OS7 FT2,0,0,1,0,0,13,74
OS7 FT3,0,0,1,0,0,13,75
OS7 RT1,0,0,1,0,1,13,76
OS7 RT2,0,0,1,0,1,13,77
OS7 RT3,0,0,1,0,1,13,78
OS8 FT1,0,1,0,0,0,14,79
OS8 FT2,0,1,0,0,0,14,80
OS8 FT3,0,1,0,0,0,14,81
OS8 RT1,0,1,0,0,1,14,82
OS8 RT2,0,1,0,0,1,14,83
OS8 RT3,0,1,0,0,1,14,84
OS9 FT1,0,1,0,0,0,15,85
OS9 FT2,0,1,0,0,0,15,86
OS9 RT1,0,1,0,0,1,15,87
OS9 RT2,0,1,0,0,1,15,88
